Reading the audit brief and shard file list first.
Auditing shard-08 files for deletable residue; reading the files and searching for usage patterns.
src/core/slash_commands/command_specs.zig:148 | child_chat_slash_command_count constant | deleted-product | rg -n 'child_chat_slash_command_count' src --glob '*.zig'
src/core/slash_commands/command_specs.zig:150 | childChatSlashRegistry function | deleted-product | rg -n 'childChatSlashRegistry' src --glob '*.zig'
src/core/slash_commands/command_specs.zig:137 | show_aliases_in_completion SlashSpec field | always-was | rg -n 'show_aliases_in_completion\s*=' src --glob '*.zig'
src/core/slash_commands/command_specs.zig:111 | SlashPresentationCategory.media variant | deleted-product | rg -n 'presentation_category = \.media' src --glob '*.zig'
src/core/slash_commands/command_specs.zig:112 | SlashPresentationCategory.agents variant | deleted-product | rg -n 'presentation_category = \.agents' src --glob '*.zig'
src/core/slash_commands/command_specs.zig:366 | renderSlashHelp function | deleted-product | rg -n 'renderSlashHelp\(' src --glob '*.zig'
src/core/slash_commands/command_specs.zig:370 | renderSlashWelcome function | always-was | rg -n 'renderSlashWelcome\(' src --glob '*.zig'
src/core/slash_commands/command_specs.zig:730 | renderSlashEntries function | always-was | rg -n 'renderSlashEntries' src --glob '*.zig'
src/core/slash_commands/command_specs.zig:704 | argCompletionIndexForLabel function | always-was | rg -n 'argCompletionIndexForLabel' src --glob '*.zig'
src/core/terminal/ui_projection.zig:12 | Row.attachable field | always-was | rg -n '\.attachable' src --glob '*.zig'
src/core/terminal/ui_projection.zig:32 | BackgroundStatus struct | always-was | rg -n 'BackgroundStatus' src --glob '*.zig'
src/core/terminal/ui_projection.zig:37 | backgroundStatus function | always-was | rg -n 'backgroundStatus' src --glob '*.zig'
src/builtins/context.zig:32 | modelPromptOverlay function | always-was | rg -n 'modelPromptOverlay\(' src/builtins/context.zig
src/builtins/modes.zig:23 | lookup function | always-was | rg -n 'builtin_modes\.lookup' src --glob '*.zig'
src/builtins/tools.zig:859 | isReadOnlyToolName function | always-was | rg -n 'isReadOnlyToolName' src --glob '*.zig'
src/builtins/tools.zig:877 | toolLabelValue function | always-was | rg -n 'builtin_tools\.toolLabelValue' src --glob '*.zig'
src/builtins/tools.zig:881 | toolActivityKind function | always-was | rg -n 'builtin_tools\.toolActivityKind' src --glob '*.zig'
src/builtins/tools.zig:885 | toolRequiresApproval function | always-was | rg -n 'builtin_tools\.toolRequiresApproval' src --glob '*.zig'
src/builtins/tools.zig:889 | toolHasPermissionContract function | always-was | rg -n 'builtin_tools\.toolHasPermissionContract' src --glob '*.zig'
src/builtins/commands.zig:314 | matchesTopLevel wrapper | always-was | rg -n 'builtin_commands\.matchesTopLevel' src --glob '*.zig'
src/builtins/commands.zig:318 | renderTopLevelHelp wrapper | always-was | rg -n 'builtin_commands\.renderTopLevelHelp' src --glob '*.zig'
src/builtins/commands.zig:322 | renderTopLevelHelpWithStyle wrapper | always-was | rg -n 'builtin_commands\.renderTopLevelHelpWithStyle' src --glob '*.zig'
src/builtins/commands.zig:326 | renderTopLevelCommandHelp wrapper | always-was | rg -n 'builtin_commands\.renderTopLevelCommandHelp' src --glob '*.zig'
src/builtins/commands.zig:330 | topLevelKindFromToken wrapper | always-was | rg -n 'builtin_commands\.topLevelKindFromToken' src --glob '*.zig'
src/builtins/commands.zig:334 | topLevelUsage wrapper | always-was | rg -n 'builtin_commands\.topLevelUsage' src --glob '*.zig'
src/builtins/commands.zig:363 | matchesSlashExact wrapper | always-was | rg -n 'builtin_commands\.matchesSlashExact' src --glob '*.zig'
src/builtins/commands.zig:367 | isExactSlashCommand wrapper | always-was | rg -n 'builtin_commands\.isExactSlashCommand' src --glob '*.zig'
src/builtins/commands.zig:371 | matchedSlashPrefix wrapper | always-was | rg -n 'builtin_commands\.matchedSlashPrefix' src --glob '*.zig'
src/builtins/commands.zig:375 | renderSlashHelp wrapper | always-was | rg -n 'builtin_commands\.renderSlashHelp' src --glob '*.zig'
src/builtins/commands.zig:379 | renderSlashWelcome wrapper | always-was | rg -n 'builtin_commands\.renderSlashWelcome' src --glob '*.zig'
src/builtins/commands.zig:383 | firstSlashCompletion wrapper | always-was | rg -n 'builtin_commands\.firstSlashCompletion' src --glob '*.zig'
src/builtins/commands.zig:387 | slashCompletionCount wrapper | always-was | rg -n 'builtin_commands\.slashCompletionCount' src --glob '*.zig'
src/builtins/commands.zig:391 | nthSlashCompletion wrapper | always-was | rg -n 'builtin_commands\.nthSlashCompletion' src --glob '*.zig'
src/builtins/commands.zig:395 | nthSlashCompletionLabel wrapper | always-was | rg -n 'builtin_commands\.nthSlashCompletionLabel' src --glob '*.zig'
src/builtins/commands.zig:399 | nthSlashCompletionDescription wrapper | always-was | rg -n 'builtin_commands\.nthSlashCompletionDescription' src --glob '*.zig'
src/builtins/commands.zig:403 | nthSlashCompletionCategory wrapper | always-was | rg -n 'builtin_commands\.nthSlashCompletionCategory' src --glob '*.zig'
src/builtins/commands.zig:407 | slashCompletionHasArgs wrapper | always-was | rg -n 'builtin_commands\.slashCompletionHasArgs' src --glob '*.zig'
src/builtins/commands.zig:411 | argCompletionAnchor re-export | always-was | rg -n 'builtin_commands\.argCompletionAnchor' src --glob '*.zig'
src/builtins/commands.zig:412 | argCompletionIndexForLabel re-export | always-was | rg -n 'builtin_commands\.argCompletionIndexForLabel' src --glob '*.zig'
src/builtins/commands.zig:413 | permissionsArgCompletionPrefix re-export | always-was | rg -n 'builtin_commands\.permissionsArgCompletionPrefix' src --glob '*.zig'
STATUS: DONE
