Reading the audit brief and shard file list, then analyzing the assigned files.
Searching shard files for dead code patterns and cross-referencing callers.
src/builtins/context.zig:32 | modelPromptOverlay stub always returns null | always-was | rg -n 'modelPromptOverlay' src/builtins/context.zig
src/builtins/context.zig:39 | model_prompt_overlay_fn hook in prompt_policy | always-was | rg -n 'model_prompt_overlay_fn' src/builtins/context.zig
src/builtins/context.zig:102 | SelectionOptions.load_project_instruction_files flag | always-was | rg -n 'load_project_instruction_files' .
src/builtins/context.zig:165 | loadsProjectInstructionFiles always-true helper | always-was | rg -n 'loadsProjectInstructionFiles' .
src/builtins/context.zig:1977 | buildTurnContextFragmentForHost embed-host branch | deleted-product | rg -n 'host_workspace\s*=' .
src/builtins/gateway.zig:22 | provider_bundle test-only Codex bundle | deleted-product | rg -n 'provider_bundle' . --glob '!src/builtins/gateway.zig' --glob '!docs/**'
src/builtins/gateway.zig:112 | buildAgentRequest fixture body builder | deleted-product | rg -n 'buildAgentRequest' . --glob '!src/builtins/gateway.zig'
src/builtins/gateway.zig:188 | buildAgentToolsJson helper | deleted-product | rg -n 'buildAgentToolsJson' .
src/builtins/gateway.zig:241 | writeDynamicFunctionTool helper | deleted-product | rg -n 'writeDynamicFunctionTool' .
src/builtins/gateway.zig:254 | toolNameSelected helper | deleted-product | rg -n 'toolNameSelected' .
src/builtins/hooks.zig:76 | RecordingClient test double struct | always-was | rg -n 'RecordingClient' .
src/builtins/tools.zig:3 | unused builtin_gateway import | always-was | rg -n 'builtin_gateway' src/builtins/tools.zig
src/builtins/tools.zig:872 | lookup wrapper re-export | always-was | rg -n 'builtin_tools\.lookup' .
src/builtins/tools.zig:877 | toolLabelValue wrapper re-export | always-was | rg -n 'builtin_tools\.toolLabelValue' .
src/builtins/tools.zig:881 | toolActivityKind wrapper re-export | always-was | rg -n 'builtin_tools\.toolActivityKind' .
src/builtins/tools.zig:885 | toolRequiresApproval wrapper re-export | always-was | rg -n 'builtin_tools\.toolRequiresApproval' .
src/builtins/tools.zig:889 | toolHasPermissionContract wrapper | always-was | rg -n 'builtin_tools\.toolHasPermissionContract' .
src/builtins/tools.zig:859 | isReadOnlyToolName helper | always-was | rg -n 'isReadOnlyToolName' . --glob '!src/builtins/tools.zig'
src/builtins/mcp.zig:1136 | stableEmptyTestEnviron test helper | always-was | rg -n 'stableEmptyTestEnviron' .
src/core/slash_commands/command_router.zig:124 | testSlashRegistry test-only helper | always-was | rg -n 'testSlashRegistry' src/core/slash_commands/command_router.zig
src/core/slash_commands/command_router.zig:282 | parsedIsUnknown test-only helper | always-was | rg -n 'parsedIsUnknown' .
src/core/slash_commands/command_router.zig:311 | TestContext route test harness | always-was | rg -n 'TestContext' src/core/slash_commands/command_router.zig
src/core/terminal/client.zig:276 | Runtime.takeCompletion FIFO dequeue API | always-was | rg -n '\.takeCompletion\(' . --glob '!src/core/terminal/client.zig'
src/core/terminal/client.zig:308 | Runtime.clearTerminalProjection | always-was | rg -n 'clearTerminalProjection' .
src/core/terminal/host_policy.zig:111 | PendingRequests.cancel method | always-was | rg -n 'pending\.cancel\(' .
src/core/terminal/contracts.zig:13 | max_monitor_definitions constant | always-was | rg -n 'max_monitor_definitions' .
src/core/terminal/contracts.zig:146 | PersistenceLevel single-variant enum | always-was | rg -n 'PersistenceLevel' .
src/core/terminal/contracts.zig:1399 | TerminalLifetime single-variant enum | always-was | rg -n 'TerminalLifetime' .
src/core/terminal/contracts.zig:1495 | AllowedControls.monitor capability bit | always-was | rg -n 'monitor:\s*true|\.monitor\s*=\s*true' .
src/core/terminal/contracts.zig:1671 | AuthorityGrant.repeated_probes default slice | always-was | rg -n 'repeated_probes\s*=' .
src/core/terminal/contracts.zig:1692 | RepeatedProbeAuthority struct | always-was | rg -n 'RepeatedProbeAuthority' .
src/core/terminal/contracts.zig:171 | PollSchedule struct | always-was | rg -n 'PollSchedule' . --glob '!src/core/terminal/contracts.zig' --glob '!src/core/terminal/store.zig'
src/core/terminal/contracts.zig:270 | NotifySchedule union | always-was | rg -n 'NotifySchedule' . --glob '!src/core/terminal/contracts.zig' --glob '!src/core/terminal/store.zig'
src/core/terminal/contracts.zig:289 | MonitorLifetime union | always-was | rg -n 'MonitorLifetime' . --glob '!src/core/terminal/contracts.zig' --glob '!src/core/terminal/store.zig'
src/core/terminal/store.zig:203 | Record.monitor_count legacy field | always-was | rg -n 'monitor_count\s*=' src/core/terminal/store.zig
src/core/terminal/store.zig:2238 | reloadHumanTakeoverAuthorityClaim export | always-was | rg -n 'reloadHumanTakeoverAuthorityClaim' . --glob '!src/core/terminal/store.zig'
src/core/terminal/store.zig:2011 | hash_monitor_notify legacy hash helper | always-was | rg -n 'hash_monitor_notify' .
src/core/terminal/store.zig:2023 | hash_monitor_lifetime legacy hash helper | always-was | rg -n 'hash_monitor_lifetime' .

STATUS: DONE
