Reading the audit brief and shard file list first.
Auditing shard-14 files for deletable residue; reading files and searching for callers.
Searching for dead symbols and constant-value patterns across the shard files.
src/core/mcp/health.zig:206 | publishCandidate | always-was | rg -n 'publishCandidate\(' src/ --glob '*.zig'
src/core/mcp/mcp_auth.zig:751 | generatePkce | always-was | rg -n 'generatePkce' src/ --glob '*.zig'
src/core/mcp/mrtr.zig:43 | ElicitationMode alias | always-was | rg -n 'ElicitationMode' src/ --glob '*.zig'
src/core/mcp/mrtr.zig:118 | parseRequestJson | always-was | rg -n 'parseRequestJson\(' src/ --glob '*.zig'
src/core/skills/skill_runtime.zig:234 | SkillSummaryStyles | always-was | rg -n 'SkillSummaryStyles' src/ --glob '*.zig'
src/core/skills/skill_runtime.zig:1035 | findSkillByName | always-was | rg -n 'findSkillByName\(' src/ --glob '*.zig'
src/core/skills/skill_runtime.zig:1065 | skillGroupLabel | always-was | rg -n 'skillGroupLabel\(' src/ --glob '*.zig'
src/core/skills/skill_runtime.zig:1171 | skill_matches_menu_query | always-was | rg -n 'skill_matches_menu_query' src/ --glob '*.zig'
src/core/skills/skill_runtime.zig:1185 | skillMenuFilterCount | always-was | rg -n 'skillMenuFilterCount' src/ --glob '*.zig'
src/core/skills/skill_runtime.zig:1198 | skillMenuActualIndexAt | always-was | rg -n 'skillMenuActualIndexAt\(' src/ --glob '*.zig'
src/core/skills/skill_runtime.zig:1222 | skillMenuSkillAt | always-was | rg -n 'skillMenuSkillAt\(' src/ --glob '*.zig'
src/core/skills/skill_runtime.zig:2934 | listSkillsSummary | always-was | rg -n 'listSkillsSummary' src/ --glob '*.zig'
src/core/skills/skill_runtime.zig:2938 | listSkillsSummaryStyled | always-was | rg -n 'listSkillsSummaryStyled' src/ --glob '*.zig'
src/core/skills/skill_runtime.zig:2976 | writeStyledSourceLabel | always-was | rg -n 'writeStyledSourceLabel' src/ --glob '*.zig'
STATUS: DONE
