src/core/auth/oauth.zig:201 | CONFIRMED | No callers or test references in the entire workspace.
src/core/auth/auth_runtime.zig:229 | REFUTED | Called in production by picker_presentation.zig:95 and auth_runtime.zig:617,724.
src/core/subagent/model_contract.zig:121 | TESTED-ONLY | Only referenced in tests in model_contract.zig (lines 198, 202, 211, 268).
src/gateway/agent_request_body.zig:13 | TESTED-ONLY | Only referenced in tests in agent_request_body.zig (lines 792, 808, 812, 874, 888, 1600+).
src/gateway/agent_request_body.zig:246 | TESTED-ONLY | Only referenced in tests via buildGatewayPendingToolReviewRequestBodyWithMaxOutputTokens in agent_request_body.zig (lines 222, 1221, 1265, 1278).
src/gateway/agent_request_body.zig:22 | TESTED-ONLY | Only referenced in expandPendingToolReviewMessages which is only called by tests in agent_request_body.zig.
src/builtins/context.zig:102 | REFUTED | Struct field written in production struct literals in context.zig at lines 185, 197 and read at line 222.
src/builtins/gateway.zig:22 | TESTED-ONLY | Only referenced in test configurations in cli_surface.zig:5263, app_entry_runtime.zig:494, and cli_ask.zig:3851.
src/builtins/gateway.zig:254 | TESTED-ONLY | Only called by buildAgentToolsJson which is only called by test-only buildAgentRequest in gateway.zig:122.
src/core/terminal/contracts.zig:1692 | REFUTED | Struct is field type in AuthorityGrant in contracts.zig:1671, and field is serialized in store.zig:1863.
src/core/terminal/contracts.zig:171 | REFUTED | Struct is field type in contracts.zig:1695,276 and serialized in store.zig:2018.
src/core/terminal/contracts.zig:270 | REFUTED | Union is field type in contracts.zig:1696 and hashed in store.zig:2013.
src/core/terminal/contracts.zig:289 | REFUTED | Union is field type in contracts.zig:1697 and hashed in store.zig:2025.
src/builtins/commands.zig:326 | CONFIRMED | Unused wrapper function with no production or test references in the entire workspace.
src/builtins/commands.zig:330 | CONFIRMED | Unused wrapper function with no production or test references in the entire workspace.
src/builtins/commands.zig:363 | CONFIRMED | Unused wrapper function with no production or test references in the entire workspace.
src/builtins/commands.zig:371 | CONFIRMED | Unused wrapper function with no production or test references in the entire workspace.
src/builtins/commands.zig:383 | CONFIRMED | Unused wrapper function with no production or test references in the entire workspace.

STATUS: DONE
