src/builtins/commands.zig:407 | CONFIRMED | no callers found in the codebase
src/core/mcp/elicitation.zig:138 | TESTED-ONLY | user_identity field is only set to non-null in test blocks
src/core/mcp/elicitation.zig:151 | TESTED-ONLY | user_identity field is only set to non-null in test blocks
src/core/shared/lexical_relevance.zig:35 | TESTED-ONLY | Score struct, score, and order are only referenced inside test blocks
src/core/mcp/features/common.zig:103 | REFUTED | called with protocol parameter in src/core/mcp/features/resources.zig:329
src/ui/render_engine/transcript_blocks.zig:414 | TESTED-ONLY | wrapAssistantText is only called in test files
src/ui/transcript/resume_projection.zig:47 | TESTED-ONLY | ResumeProjection.initEmpty is only called in test blocks
src/core/subagent/model_contract.zig:44 | CONFIRMED | Request.agentName is never called in the codebase
src/core/gateway/model_catalog.zig:287 | REFUTED | used to set supports_web_search in src/core/gateway/model_catalog_metadata.zig:18
src/core/gateway/model_catalog.zig:288 | REFUTED | used to set supports_explicit_caching in src/core/gateway/model_catalog_metadata.zig:19
src/core/gateway/model_catalog.zig:292 | CONFIRMED | field is always null and never set or read
src/builtins/context.zig:39 | REFUTED | function pointer assigned into prompt_policy struct, called in src/core/app/app_agent_runtime.zig:1022
src/builtins/tools.zig:881 | TESTED-ONLY | toolActivityKind in src/builtins/tools.zig is only called in test blocks
src/builtins/commands.zig:322 | CONFIRMED | renderTopLevelHelpWithStyle wrapper is never called
src/builtins/commands.zig:334 | CONFIRMED | topLevelUsage wrapper is never called
src/builtins/commands.zig:403 | CONFIRMED | nthSlashCompletionCategory wrapper is never called
src/core/app/app_auth_runtime.zig:14 | REFUTED | called at comptime in production functions in src/core/app/app_auth_runtime.zig:59
src/main.zig:99 | REFUTED | used in currentBuild() and App.build_update_channel in src/main.zig

STATUS: DONE
